region,modelo,residuo
Vía aérea,ARIMA/SARIMA seleccionado,-0.6381021781516854
Vía aérea,ARIMA/SARIMA seleccionado,-4.595747942541902
Vía aérea,ARIMA/SARIMA seleccionado,0.5382331774301612
Vía aérea,ARIMA/SARIMA seleccionado,-0.28763325647900384
Vía aérea,ARIMA/SARIMA seleccionado,-1.022692257598516
Vía aérea,ARIMA/SARIMA seleccionado,-0.3830527687936325
Vía aérea,ARIMA/SARIMA seleccionado,0.776966382764984
Vía aérea,ARIMA/SARIMA seleccionado,-0.22628432257939401
Vía aérea,ARIMA/SARIMA seleccionado,1.0615488105288886
Vía aérea,ARIMA/SARIMA seleccionado,-0.12088396785403432
Vía aérea,ARIMA/SARIMA seleccionado,-0.2402020619340135
Vía aérea,ARIMA/SARIMA seleccionado,-0.4562851280485436
Vía aérea,ARIMA/SARIMA seleccionado,0.675770696377235
