fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2024-04-01,Vía aérea,87857.0,75083.94783677482,489.0,60160.41419864082,52153.381609674136,0.0
2024-05-01,Vía aérea,87997.0,75083.86057469047,610.0,60160.41419864082,46028.08844507657,0.0
2024-06-01,Vía aérea,104464.0,75083.79097411757,1418.0,60160.41419864082,62609.89355906272,0.0
2024-07-01,Vía aérea,110379.0,75083.73546042223,1047.0,60160.41419864082,72758.43318043211,0.0
2024-08-01,Vía aérea,88635.0,75083.69118246922,1259.0,60160.41419864082,52956.90560902527,0.0
2024-09-01,Vía aérea,69269.0,75083.6558661861,5606.0,60160.41419864082,41122.80400513424,0.0
2024-10-01,Vía aérea,81187.0,75083.62769776581,9474.702618453864,60160.41419864082,52568.70506035063,0.0
2024-11-01,Vía aérea,97137.0,75083.60523050994,38994.0,60160.41419864082,64680.27536907402,0.0
2024-12-01,Vía aérea,113027.0,75083.58731052675,53717.0,60160.41419864082,80771.47658752532,0.0
2025-01-01,Vía aérea,101124.0,75083.57301746757,43648.0,60160.41419864082,60465.92145822008,0.0
2025-02-01,Vía aérea,92703.0,75083.56161725879,28784.0,60160.41419864082,48216.48240131976,0.0
2025-03-01,Vía aérea,107244.0,75083.55252440041,60160.41466618583,60160.41419864082,62224.83719438555,0.0
2025-04-01,Vía aérea,93466.0,75083.54527189487,489.0,60160.41419864082,52153.8807450691,0.0
2025-05-01,Vía aérea,87753.0,75083.5394872632,610.0,60160.41419864082,46028.48775339255,0.0
2025-06-01,Vía aérea,99411.0,75083.53487341425,1418.0,60160.41419864082,62610.2130057155,0.0
2025-07-01,Vía aérea,117361.0,75083.531193387,1047.0,60160.41419864082,72758.68873775435,0.0
2025-08-01,Vía aérea,90643.0,75083.52825818025,1259.0,60160.41419864082,52957.11005488305,0.0
2025-09-01,Vía aérea,70416.0,75083.5259170457,5606.0,60160.41419864082,41122.967561820464,0.0
2025-10-01,Vía aérea,90000.0,75083.52404974602,9474.702618453864,60160.41419864082,52568.835905699605,0.0
2025-11-01,Vía aérea,111567.0,75083.52256037906,38994.0,60160.41419864082,64680.3800453532,0.0
2025-12-01,Vía aérea,127283.0,75083.52137245312,53717.0,60160.41419864082,80771.56032854867,0.0
2026-01-01,Vía aérea,113435.0,75083.52042495775,43648.0,60160.41419864082,60465.98845103876,0.0
2026-02-01,Vía aérea,106821.0,75083.51966923103,28784.0,60160.41419864082,48216.5359955747,0.0
2026-03-01,Vía aérea,127540.0,75083.51906645986,60160.41466618583,60160.41419864082,62224.8800697895,0.0
2026-04-01,Vía aérea,102029.0,75083.51858568683,489.0,60160.41419864082,52153.91504539227,0.0
2026-05-01,Vía aérea,95804.0,75083.51820221999,610.0,60160.41419864082,46028.51519365108,0.0
2026-06-01,Vía aérea,98211.0,75083.51789636516,1418.0,60160.41419864082,62610.23495792232,0.0
