fecha,América Del Centro,América Del Norte,Europa
2024-08-01,191992.30000509688,61032.010210578876,14104.951861028403
2024-09-01,151186.9140386449,41562.9957955142,7823.7
2024-10-01,170604.37848348546,50582.22449190525,12275.3759571865
2024-11-01,201390.66899286208,63735.577115699765,19800.69115285899
2024-12-01,242238.76669915067,87399.59165771572,16340.19678948498
2025-01-01,187170.21490193796,68397.96450108268,17867.352185698226
2025-02-01,155564.88401069562,63957.000584805966,19359.484355323595
2025-03-01,167729.99481481058,75852.92901828368,18719.98492418536
2025-04-01,203524.058390878,66079.27932998464,14988.54023056482
2025-05-01,160973.28389823987,62372.21123519666,9765.477667851861
2025-06-01,155037.64178094812,77123.91941036285,7502.44197975448
2025-07-01,165620.43786941576,86624.7694980845,14115.050901149934
2025-08-01,199695.16911306878,64687.51798660194,14330.169898699036
2025-09-01,154323.22999085515,43141.46955528722,7069.12228049728
2025-10-01,168768.28081863796,58936.753242921244,11742.760792540792
2025-11-01,194775.19206550196,73826.48112406474,22824.349925127284
2025-12-01,230511.15194255428,98379.80523723102,17977.19796034595
2026-01-01,188957.17965209973,73593.52143810508,19157.9054083127
2026-02-01,129776.30345186002,70561.89285714286,20117.64108533653
2026-03-01,157705.69437418517,91979.38491444387,21565.286411718895
2026-04-01,157872.58450827387,69651.81522507363,15281.335701002256
2026-05-01,146233.21372086005,67069.11018582762,10869.584810481276
2026-06-01,146093.47989936126,74834.618172677,7855.77040513175
