fecha,América Del Centro,América Del Norte,Europa
2019-11-01,304549.0000000025,47861.99999999975,16410.999999999996
2019-12-01,414729.0000000001,65762.99999999993,14061.750000000005
2020-01-01,364329.5517241379,52924.0,15717.57847757991
2020-02-01,292906.0,51864.0,16748.754738216317
2020-03-01,135607.25,23967.0,5999.22472315264
2020-04-01,10039.0,0.0,0.0
2020-05-01,9779.0,0.0,0.0
2020-06-01,11817.0,0.0,0.0
2020-07-01,13484.0,0.0,0.0
2020-08-01,15357.0,0.0,0.0
2020-09-01,23615.653915275994,1452.0,113.0
2020-10-01,26026.32319531158,3539.92095807,366.7799997949024
2020-11-01,41628.0,13018.0,1475.0
2020-12-01,43252.0,13666.0,1100.0
2021-01-01,84013.0,14861.0,2334.0
2021-02-01,55742.0,7338.0,951.0
2021-03-01,72882.53176771561,25858.0,2554.1132655151227
2021-04-01,59116.0,18195.0,2039.9999999999932
2021-05-01,54922.0,19771.0,2288.0
2021-06-01,71021.0,29336.0,2161.0
2021-07-01,75163.0,27453.0,2456.0
2021-08-01,59120.0,18104.0,2484.0
2021-09-01,56400.0,13216.0,1837.0
2021-10-01,69106.0,16994.0,3352.0
2021-11-01,77638.17755114578,25939.0,6083.0
2021-12-01,168616.0,58636.0,9350.999999999993
2022-01-01,101373.0,32649.0,9126.0
2022-02-01,181064.4,33929.0,9465.0
2022-03-01,229692.0,45842.0,10766.0
2022-04-01,309478.0,51850.0,12580.0
2022-05-01,291955.0,46638.0,8042.0
2022-06-01,285599.0,59951.0,6167.0
2022-07-01,316566.0,59559.0,10923.0
2022-08-01,331357.0,44478.0,11725.0
2022-09-01,295816.0,34495.0,7124.0
2022-10-01,339412.0,41739.0,9283.0
2022-11-01,369122.0,44039.0,20726.0
2022-12-01,421838.0,64885.0,13467.0
2023-01-01,208751.99999999997,53785.0,14744.0
2023-02-01,139616.00000000003,53273.99999999999,15812.0
2023-03-01,177969.99999999968,68927.0,18334.0
2023-04-01,219695.00000000032,56977.0,15084.0
2023-05-01,163002.00000000006,51914.0,10184.0
2023-06-01,161816.0000000001,69423.0,7888.0
2023-07-01,179632.99999999983,74092.0,9490.0
2023-08-01,208849.0000000001,56856.0,12695.0
2023-09-01,182133.99999999985,42394.0,7324.0
2023-10-01,133583.0,36220.0,9284.0
2023-11-01,192623.99999999997,56191.0,17114.0
2023-12-01,257197.99999999985,80593.0,14605.0
2024-01-01,233386.00000000003,65944.0,16281.0
2024-02-01,186745.9999999999,70236.0,19893.0
2024-03-01,231239.00000000015,82511.0,19051.0
2024-04-01,174727.0000000001,61406.0,14036.0
2024-05-01,178113.00000000003,61896.0,10280.0
2024-06-01,156231.00000000006,83582.0,8197.0
2024-07-01,181008.00000000015,85633.0,13812.0
